Day,Hour,Livechat,PublishedCount,SuppliersInvitedCount,DeadlineCount,SupplierDeadlineCount,CombinedRequests,CombinedSupplierAction,NonRegMail,NewUserMail
1,0,0,0,0,0,0,0,0,4,76
1,1,0,0,0,10,14,10,14,1,48
1,2,0,0,0,0,0,0,0,2,7
1,3,0,0,0,0,0,0,0,0,6
1,4,1,26,26,29,33,55,59,0,194
1,5,1,25,28,31,33,56,61,6,277
1,6,1,33,35,25,25,58,60,9,162
1,7,0,14,17,6,9,20,26,10,73
1,8,0,37,37,9,10,46,47,8,317
1,9,0,58,62,23,35,81,97,5,230
1,10,2,29,29,21,26,50,55,10,292
1,11,0,8,8,18,23,26,31,4,174
1,12,1,15,15,9,9,24,24,12,4009
1,13,0,4,4,36,45,40,49,3,19
1,14,0,0,0,0,0,0,0,3,14
1,15,0,0,0,1,1,1,1,2,63
1,16,0,0,0,1,1,1,1,4,14
1,17,1,0,0,1,1,1,1,1,38
1,18,0,0,0,0,0,0,0,1,9
1,19,0,0,0,0,0,0,0,3,7
1,20,1,0,0,0,0,0,0,3,33
1,21,1,0,0,1,2,1,2,5,50
1,22,0,2,3,0,0,2,3,3,72
1,23,0,7,8,3,3,10,11,3,97
2,0,0,3,4,2,2,5,6,13,132
2,1,0,10,62,3,3,13,65,8,378
2,2,1,18,26,4,22,22,48,10,235
2,3,4,19,26,7,29,26,55,12,165
2,4,0,45,62,37,87,82,149,9,223
2,5,0,40,55,13,24,53,79,15,218
2,6,7,51,90,29,67,80,157,21,458
2,7,17,21,53,15,16,36,69,42,549
2,8,36,67,138,28,29,95,167,74,1903
2,9,47,75,150,29,95,104,245,86,2346
2,10,33,27,49,44,72,71,121,78,2243
2,11,23,52,77,62,378,114,455,57,1704
2,12,39,50,137,31,60,81,197,74,5861
2,13,40,18,53,45,78,63,131,61,2159
2,14,29,27,123,14,27,41,150,54,2122
2,15,27,35,92,28,59,63,151,44,1722
2,16,11,25,52,68,167,93,219,17,838
2,17,1,5,5,9,19,14,24,11,278
2,18,1,4,10,6,8,10,18,5,228
2,19,1,1,2,1,1,2,3,3,224
2,20,0,3,5,0,0,3,5,5,153
2,21,0,1,2,2,3,3,5,3,77
2,22,0,0,0,4,6,4,6,4,138
2,23,1,4,6,2,2,6,8,8,111
3,0,0,7,14,7,26,14,40,12,109
3,1,0,11,23,16,20,27,43,15,208
3,2,3,9,14,4,4,13,18,13,187
3,3,3,14,32,6,7,20,39,15,185
3,4,0,33,53,34,48,67,101,4,262
3,5,2,37,45,25,30,62,75,21,190
3,6,10,33,43,43,56,76,99,24,429
3,7,11,24,59,22,42,46,101,30,618
3,8,25,70,91,22,50,92,141,57,2063
3,9,40,86,118,56,110,142,228,70,3156
3,10,45,74,121,36,61,110,182,62,2297
3,11,38,68,125,86,204,154,329,60,1919
3,12,43,55,85,39,70,94,155,70,9387
3,13,35,41,119,60,140,101,259,72,2254
3,14,34,44,638,23,85,67,723,69,2649
3,15,27,35,480,39,155,74,635,62,2135
3,16,13,33,68,75,161,108,229,30,1278
3,17,0,14,32,14,20,28,52,7,596
3,18,0,5,10,2,7,7,17,5,331
3,19,1,10,15,2,3,12,18,5,205
3,20,3,8,9,0,0,8,9,10,146
3,21,0,5,6,2,2,7,8,6,73
3,22,0,1,1,6,34,7,35,11,56
3,23,1,2,2,2,2,4,4,6,44
4,0,1,1,5,7,31,8,36,13,75
4,1,4,7,14,8,9,15,23,18,190
4,2,1,11,43,2,3,13,46,12,278
4,3,4,39,101,6,6,45,107,6,210
4,4,1,47,58,47,97,94,155,11,243
4,5,3,43,50,23,25,66,75,16,216
4,6,14,36,60,31,62,67,122,28,439
4,7,16,51,80,11,21,62,101,58,861
